GENE	H1.DN	H1.KO2	H1.AzLow	H1.AzHigh	H2.DN	H2.KO2	H2.AzLow	H2.AzHigh	H3.DN	H3.KO2	H3.AzLow	H3.AzHigh
NM_017993_ENOX1	0.00	0.11	0.00	0.00	0.00	0.14	0.00	0.00	0.13	0.15	0.00	0.00
NM_017908_ZNF446	0.28	0.80	0.40	0.37	0.53	1.07	0.85	1.03	0.00	0.74	0.31	0.71
NM_017744_ST7L	0.00	0.00	0.00	0.33	0.00	0.00	0.62	0.69	0.54	0.00	0.35	0.92
NM_017720_STAP2	1.37	2.02	1.44	0.00	0.51	0.71	0.00	0.00	0.00	1.18	0.00	0.00
NM_017633_FAM46A	0.00	0.89	0.60	0.00	0.32	1.10	0.96	0.75	0.42	1.10	0.74	0.76
NM_017573_PCSK4	0.29	0.00	0.00	0.53	0.51	0.00	0.28	0.73	0.00	0.00	0.41	0.47
NM_017539_DNAH3	0.05	0.05	0.08	0.00	0.00	0.00	0.08	0.00	0.06	0.07	0.12	0.05
NM_016952_CDON	0.00	0.00	1.82	2.61	0.00	0.00	3.95	4.31	0.00	2.68	3.75	3.87
NM_016932_SIX2	0.75	0.85	0.11	0.27	0.33	0.42	0.19	0.19	0.27	0.68	0.26	0.31
NM_016638_ARL6IP4	0.00	15.26	0.00	13.00	0.00	5.75	5.68	0.00	0.00	13.15	7.79	6.87
NM_016631_GCFC1	9.93	8.08	10.25	4.13	8.84	3.48	9.16	7.35	8.79	6.72	10.95	4.35
NM_016616_TXNDC3	0.08	0.03	0.11	0.08	0.03	0.00	0.21	0.15	0.00	0.00	0.16	0.00
NM_016601_KCNK9	0.03	0.04	0.00	0.00	0.04	0.05	0.03	0.00	0.06	0.02	0.00	0.00
NM_016574_DRD2	0.03	0.03	0.03	0.06	0.00	0.07	0.10	0.11	0.00	0.02	0.00	0.05
NM_016426_GTSE1	1.83	0.00	3.91	2.32	2.88	2.41	5.72	11.10	3.99	3.38	8.71	9.64
NM_016364_DUSP13	0.50	0.19	0.00	0.81	0.41	0.00	0.36	0.43	0.85	0.00	0.00	0.62
NM_016263_FZR1	3.58	4.30	6.81	8.33	3.79	2.44	9.32	10.38	5.36	6.14	6.34	14.06
NM_016220_ZNF107	0.28	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.39	0.00	0.25	0.00
NM_015613_LRIT1	0.01	0.00	0.06	0.00	0.03	0.04	0.05	0.00	0.08	0.03	0.08	0.02
NM_015537_NELF	9.65	6.59	4.67	9.99	6.11	1.38	0.00	9.45	14.64	0.00	9.53	12.40
NM_015453_THUMPD3	0.43	0.96	0.95	1.24	0.00	0.00	0.00	0.87	0.31	1.17	0.58	1.33
NM_015424_CHRDL2	0.12	0.07	0.14	0.17	0.06	0.08	0.14	0.12	0.15	0.04	0.16	0.19
NM_015270_ADCY6	0.00	0.35	0.34	0.00	0.74	4.99	1.61	3.41	0.61	2.76	0.62	1.04
NM_015184_PLCL2	0.21	0.00	0.00	1.18	1.70	0.86	0.00	3.02	0.00	0.63	0.00	1.50
NM_015173_TBC1D1	0.00	0.00	8.22	8.22	0.00	0.00	4.66	5.39	0.00	3.16	3.77	9.06
NM_015162_ACSBG1	0.91	0.00	1.09	1.36	0.00	0.85	1.34	0.96	0.00	0.58	1.50	2.09
NM_015053_PPFIA4	0.00	0.00	1.82	0.00	0.47	0.26	0.49	0.00	0.00	0.00	2.11	0.00
NM_015015_KDM4B	5.04	2.76	8.05	7.68	1.92	0.00	7.98	7.25	1.95	0.00	3.53	5.62
NM_014941_MORC2	0.00	0.00	9.85	0.00	0.00	0.00	10.43	8.18	0.00	0.00	11.54	7.31
NM_014782_ARMCX2	6.94	0.00	5.26	0.00	7.00	0.00	0.00	0.00	9.46	7.30	0.00	0.00
NM_014498_GOLIM4	5.72	3.18	2.09	0.00	2.22	0.00	1.72	0.00	2.73	0.00	1.71	0.00
NM_014427_CPNE7	0.00	0.00	0.82	0.00	0.19	0.23	0.29	0.00	0.00	0.00	0.40	0.00
NM_014417_BBC3	1.64	3.16	0.22	0.17	1.58	1.60	0.57	0.00	2.45	2.69	0.36	0.00
NM_014368_LHX6	0.00	0.00	0.40	0.19	0.00	0.00	0.12	0.25	0.00	0.00	0.19	0.15
NM_014350_TNFAIP8	0.82	0.82	0.00	0.71	1.01	0.00	0.00	0.79	1.11	0.80	0.00	0.00
NM_014293_NPTXR	2.42	0.00	2.22	2.66	3.09	1.61	2.23	4.35	2.15	1.58	3.11	3.28
NM_014037_SLC6A16	0.11	0.18	0.09	0.04	0.15	0.42	0.00	0.00	0.50	0.38	0.00	0.17
NM_013318_PRRC2B	24.91	22.84	25.44	11.93	29.25	9.62	31.02	27.97	27.15	24.42	29.70	0.00
NM_012471_TRPC5	0.05	0.04	0.07	0.12	0.17	0.17	0.19	0.35	0.14	0.14	0.15	0.35
NM_012368_OR2C1	0.00	0.00	0.04	0.00	0.02	0.00	0.10	0.00	0.03	0.00	0.07	0.00
NM_012340_NFATC2	0.00	0.00	0.00	0.16	0.12	0.00	0.00	0.20	0.00	0.00	0.00	0.25
NM_012323_MAFF	2.93	3.14	1.72	0.80	1.83	1.43	1.13	0.65	1.48	1.09	0.78	0.71
NM_012207_HNRNPH3	38.81	76.78	37.07	24.16	72.25	66.12	11.63	61.04	72.37	54.01	0.00	20.05
NM_012176_FBXO4	0.25	0.60	0.14	0.16	0.55	0.36	0.30	0.14	0.32	0.36	0.21	0.16
NM_012062_DNM1L	10.10	12.18	5.61	7.52	12.04	10.67	8.77	0.00	11.19	5.72	4.53	0.00
NM_007374_SIX6	0.12	0.16	0.05	0.12	0.05	0.10	0.02	0.04	0.14	0.26	0.12	0.04
NM_007281_SCRG1	0.00	0.00	0.03	0.00	0.02	0.00	0.03	0.00	0.03	0.00	0.03	0.00
NM_007115_TNFAIP6	0.27	0.90	0.25	0.52	0.87	1.51	0.72	1.97	0.50	1.22	0.46	1.03
NM_007068_DMC1	1.07	0.00	0.23	0.00	1.35	0.76	0.00	0.00	1.50	0.00	0.20	0.00
NM_007030_TPPP	0.00	0.00	0.14	0.24	0.00	0.16	0.24	0.38	0.00	0.28	0.32	0.54
NM_007019_UBE2C	50.74	20.63	90.08	131.44	48.01	19.59	103.66	182.97	67.64	32.39	85.09	148.69
NM_006845_KIF2C	20.13	13.66	26.01	28.82	22.84	10.58	31.47	43.14	26.14	15.60	29.91	44.93
NM_006727_CDH10	0.03	0.05	0.00	0.00	0.11	0.10	0.02	0.00	0.10	0.11	0.06	0.01
NM_006647_NOXA1	0.04	0.03	0.07	0.19	0.18	0.00	0.00	0.21	0.16	0.00	0.00	0.17
NM_006588_SULT1C4	0.49	0.28	0.00	0.71	0.59	0.58	0.11	1.02	0.00	0.51	0.00	0.68
NM_006498_LGALS2	0.00	0.00	0.00	0.05	0.00	0.04	0.00	0.08	0.00	0.00	0.00	0.17
NM_006456_ST6GALNAC2	0.19	0.11	0.08	0.05	0.37	0.18	0.00	0.07	0.27	0.23	0.00	0.07
NM_006170_NOP2	11.03	20.30	0.00	0.00	8.08	12.96	0.00	12.59	11.55	13.49	0.00	0.00
NM_006101_NDC80	12.94	9.75	17.57	20.71	14.87	9.06	25.74	25.69	15.89	8.84	21.69	24.44
NM_006024_TAX1BP1	3.44	0.00	0.00	3.46	2.95	0.00	2.82	3.10	2.79	0.00	0.00	2.91
NM_006019_TCIRG1	1.59	0.66	0.59	2.46	2.58	1.49	2.33	3.78	2.52	2.52	1.04	2.84
NM_006013_RPL10	29.78	7.68	5.92	22.85	24.99	0.00	13.92	15.51	15.99	0.00	14.65	20.23
NM_005982_SIX1	0.19	0.27	0.09	0.02	0.08	0.14	0.03	0.07	0.10	0.23	0.07	0.00
NM_005865_PRSS16	0.00	0.95	0.00	0.00	0.00	3.26	0.00	0.00	1.42	2.01	0.00	0.00
NM_005851_CDK2AP2	17.72	13.62	8.63	19.18	16.75	6.61	14.75	17.16	19.17	8.94	16.98	19.42
NM_005798_TRIM13	1.15	0.74	1.45	0.58	0.87	0.81	1.03	0.00	1.02	0.80	0.96	0.00
NM_005794_DHRS2	2.14	1.51	3.61	3.37	0.89	0.69	1.79	0.90	3.58	3.93	8.45	5.91
NM_005604_POU3F2	0.12	0.22	0.03	0.03	0.23	0.30	0.14	0.15	0.18	0.26	0.08	0.15
NM_005485_PARP3	0.18	0.00	0.00	0.10	0.42	0.00	0.00	0.00	0.52	0.00	0.00	0.00
NM_005345_2_HSPA1A	20.33	14.98	25.17	30.37	19.67	14.06	26.26	32.89	18.62	18.52	26.22	37.13
NM_005317_GZMM	0.30	0.20	0.04	0.11	0.17	0.17	0.03	0.00	0.36	0.31	0.26	0.15
NM_005254_GABPB1	5.28	0.00	9.03	4.47	2.07	0.00	3.89	0.00	0.00	0.00	6.16	3.41
NM_005036_PPARA	0.55	0.00	0.34	0.00	0.60	0.00	0.29	0.22	0.58	0.00	0.49	0.00
NM_004991_MECOM	0.02	0.09	0.09	0.03	0.00	0.07	0.06	0.02	0.00	0.06	0.04	0.04
NM_004977_KCNC3	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.59
NM_004936_CDKN2B	0.05	0.22	0.00	0.00	0.13	0.21	0.06	0.05	0.09	0.40	0.10	0.04
NM_004856_KIF23	6.06	4.70	7.81	11.65	4.51	3.54	7.09	12.12	3.82	3.96	9.94	7.75
NM_004785_SLC9A3R2	1.18	0.98	0.80	0.00	0.54	0.00	0.00	0.00	1.22	0.00	0.44	0.00
NM_004731_SLC16A7	0.47	0.00	0.56	0.66	0.00	0.37	0.60	0.61	0.00	0.00	0.00	0.52
NM_004700_KCNQ4	0.16	0.00	0.33	0.46	0.00	0.00	0.64	0.13	0.00	0.00	0.78	0.98
NM_004606_TAF1	0.00	0.92	0.00	2.22	0.00	0.00	0.79	1.14	0.00	0.56	0.00	1.94
NM_004487_GOLGB1	4.75	6.29	0.00	1.29	6.59	8.38	4.63	0.00	3.83	6.28	3.30	2.26
NM_004474_FOXD2	0.07	0.14	0.03	0.04	0.10	0.11	0.03	0.06	0.24	0.19	0.05	0.02
NM_004472_FOXD1	0.55	0.97	0.25	0.35	0.37	0.31	0.19	0.20	0.62	0.44	0.42	0.05
NM_004469_FIGF	0.08	0.05	0.14	0.11	0.11	0.06	0.14	0.07	0.08	0.00	0.23	0.09
NM_004457_ACSL3	0.00	12.56	9.91	0.00	0.00	10.57	0.00	7.28	7.32	8.56	0.00	0.00
NM_004405_DLX2	0.18	0.31	0.15	0.02	0.17	0.06	0.00	0.06	0.17	0.16	0.03	0.00
NM_004361_CDH7	0.09	0.13	0.00	0.15	0.08	0.21	0.00	0.19	0.12	0.22	0.00	0.20
NM_004333_BRAF	1.12	0.93	1.49	2.50	2.05	0.97	1.74	2.74	0.00	0.00	0.00	0.91
NM_004294_MTRF1	0.44	1.55	0.00	1.75	0.85	1.70	1.03	2.11	0.00	2.14	0.88	2.72
NM_004217_AURKB	43.37	28.33	50.08	57.81	41.93	22.54	52.51	57.11	45.59	29.71	34.62	62.00
NM_004210_NEURL	0.00	0.10	0.23	0.13	0.40	0.25	0.49	0.53	0.26	0.28	0.49	0.58
NM_004101_F2RL2	0.07	0.09	0.12	0.06	0.01	0.11	0.04	0.02	0.06	0.12	0.06	0.03
NM_004098_EMX2	0.00	0.12	0.00	0.00	0.00	0.06	0.00	0.00	0.01	0.14	0.00	0.00
NM_004027_INPP4A	2.36	0.00	0.00	0.00	4.85	3.68	4.19	0.00	3.47	2.52	0.00	0.00
NM_003960_NAT8	0.00	0.00	0.03	0.00	0.02	0.02	0.03	0.00	0.00	0.02	0.03	0.00
NM_003956_CH25H	0.11	0.24	0.09	0.15	0.57	1.16	0.88	1.09	0.08	0.64	0.45	0.69
NM_003877_SOCS2	12.10	8.19	4.31	5.15	9.86	7.24	4.81	0.00	7.46	5.33	4.40	0.81
NM_003836_DLK1	0.69	1.46	0.74	0.61	1.87	3.41	1.37	1.00	1.09	7.75	1.60	0.90
NM_003734_AOC3	0.00	0.53	0.23	0.22	0.16	0.54	0.23	0.41	0.27	1.00	0.57	0.82
NM_003696_OR6A2	0.00	0.07	0.06	0.00	0.05	0.06	0.00	0.00	0.03	0.06	0.00	0.00
NM_003643_GCM1	0.00	0.01	0.04	0.00	0.01	0.02	0.02	0.00	0.02	0.02	0.07	0.00
NM_003633_ENC1	2.13	6.89	1.85	6.88	1.21	1.77	1.60	4.86	2.56	6.60	4.80	6.00
NM_003597_KLF11	2.51	3.33	1.67	1.23	1.88	2.13	0.95	0.96	2.16	1.88	0.77	1.62
NM_003574_VAPA	0.00	1.27	1.48	0.00	0.00	1.17	1.45	0.00	2.04	2.64	2.45	1.16
NM_003546_HIST1H4L	0.18	0.11	0.10	0.09	0.11	0.14	0.00	0.00	0.26	0.06	0.00	0.00
NM_003538_HIST1H4A	0.79	0.38	3.37	0.10	0.37	0.22	0.35	0.17	0.66	0.00	0.40	0.36
NM_003528_HIST2H2BE	3.17	3.43	1.37	0.56	3.57	4.01	0.53	0.31	2.51	3.11	0.83	0.33
NM_003518_HIST1H2BG	0.00	1.56	2.27	0.49	0.00	0.00	0.85	0.25	0.00	0.00	0.62	0.53
NM_003516_HIST2H2AA3	0.00	0.00	2.66	1.08	0.00	0.00	1.67	1.99	0.00	0.00	1.66	1.44
NM_003428_ZNF84	0.00	4.13	0.00	2.42	0.70	3.87	2.79	2.15	0.00	4.17	0.00	0.00
NM_003419_ZNF345	0.17	1.59	0.10	0.87	0.00	0.61	0.00	0.84	0.00	0.52	0.00	0.45
NM_003412_ZIC1	0.04	0.06	0.01	0.00	0.04	0.03	0.01	0.00	0.03	0.05	0.02	0.00
NM_003382_VIPR2	0.07	0.00	0.08	0.09	0.12	0.13	0.30	0.29	0.00	0.00	0.24	0.21
NM_003362_UNG	7.43	9.70	8.45	0.00	7.78	10.49	7.44	4.24	5.25	11.99	8.33	0.00
NM_003094_SNRPE	12.91	4.39	0.00	0.00	5.91	0.00	0.00	0.00	14.05	0.00	0.00	5.71
NM_003038_SLC1A4	0.30	0.12	0.30	0.41	0.23	0.18	0.49	0.75	0.26	0.23	0.26	0.49
NM_003010_MAP2K4	0.00	4.28	0.94	10.52	3.99	9.40	9.15	9.73	1.66	4.24	1.65	3.92
NM_002974_SERPINB4	0.25	0.39	0.21	0.06	0.88	1.24	0.82	0.45	0.60	1.52	1.00	0.25
NM_002936_RNASEH1	0.00	0.00	0.00	6.77	0.00	7.28	0.00	8.39	0.00	0.00	0.00	3.08
NM_002929_GRK1	0.01	0.04	0.03	0.05	0.00	0.08	0.11	0.14	0.05	0.07	0.07	0.13
NM_002885_RAP1GAP	0.00	0.00	2.45	1.72	1.29	0.00	1.55	2.18	0.43	0.56	2.25	3.43
NM_002728_PRG2	0.00	0.04	0.10	0.21	0.10	0.10	0.11	0.32	0.18	0.25	0.43	0.55
NM_002456_MUC1	0.00	0.00	0.33	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.26	0.00
NM_002417_MKI67	5.64	3.30	7.60	8.77	11.41	4.98	9.30	17.34	11.88	5.55	15.48	16.93
NM_002355_M6PR	53.03	19.01	0.00	47.84	43.57	0.00	0.00	0.00	49.68	20.22	16.77	19.15
NM_002202_ISL1	0.32	0.41	0.19	0.22	0.11	0.06	0.03	0.02	0.13	0.10	0.09	0.02
NM_002034_FUT5	0.01	0.00	0.02	0.02	0.12	0.06	0.16	0.15	0.09	0.14	0.17	0.28
NM_002017_FLI1	0.65	0.67	0.00	0.60	0.68	0.55	0.25	0.39	1.86	1.06	0.52	0.77
NM_001881_CREM	2.27	0.00	2.76	2.86	2.11	0.00	2.02	2.52	2.16	0.00	2.50	2.86
NM_001809_CENPA	5.59	3.05	6.55	10.81	7.58	2.43	8.10	15.80	8.40	4.33	8.91	15.28
NM_001786_CDK1	27.09	17.47	50.21	72.20	22.01	12.01	53.00	91.64	46.40	26.20	65.75	88.34
NM_001676_ATP12A	0.00	0.00	0.00	0.20	0.00	0.23	0.00	0.96	0.00	0.30	0.13	0.41
NM_001657_AREG	0.00	0.03	0.02	0.02	0.00	0.05	0.06	0.00	0.00	0.01	0.02	0.00
NM_001531_MR1	0.00	0.05	0.00	0.00	0.02	0.05	0.03	0.00	0.00	0.06	0.00	0.00
NM_001507_MLNR	0.14	0.06	0.05	0.05	0.11	0.17	0.08	0.08	0.26	0.12	0.04	0.09
NM_001225_CASP4	0.04	0.00	0.00	0.02	0.02	0.00	0.02	0.03	0.03	0.03	0.00	0.06
NM_001199881_EGR3	0.00	0.00	0.08	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.09	0.08
NM_001199263_UCHL5	0.00	0.00	10.11	4.89	0.00	9.69	11.26	0.00	0.00	0.00	9.58	0.00
NM_001198525_TCF7L2	0.00	1.49	0.00	1.32	0.00	2.31	0.00	0.00	1.48	1.59	0.00	0.00
NM_001195654_ZGPAT	0.00	0.80	0.00	0.00	0.00	2.08	0.00	0.00	0.00	1.32	0.00	0.75
NM_001195381_GPR35	0.12	0.21	0.15	0.05	0.00	0.09	0.07	0.00	0.00	0.27	0.12	0.00
NM_001195279_LOC100129480	0.15	0.05	0.19	0.20	0.07	0.00	0.00	0.10	0.00	0.00	0.00	0.10
NM_001195272_LOC100129520	0.00	0.10	0.00	0.16	0.08	0.11	0.04	0.16	0.00	0.00	0.00	0.27
NM_001193478_CDADC1	0.14	0.00	0.00	0.35	0.00	0.00	0.00	0.31	0.27	0.64	0.21	0.84
NM_001193453_TMEM116	0.00	1.00	0.00	0.00	0.00	1.20	0.00	0.00	0.00	0.69	0.00	0.00
NM_001193414_TUBA8	0.00	0.00	0.61	0.34	0.00	0.00	0.49	0.18	0.00	0.00	0.29	0.33
NM_001191031_C17orf72	0.00	0.27	0.06	0.00	0.00	0.16	0.00	0.00	0.00	0.10	0.00	0.00
NM_001190907_AKR1D1	0.02	0.00	0.00	0.05	0.02	0.00	0.00	0.04	0.05	0.00	0.00	0.04
NM_001190906_AKR1D1	0.00	0.01	0.02	0.00	0.01	0.05	0.05	0.00	0.00	0.02	0.03	0.00
NM_001190702_MTRNR2L8	26.19	26.92	30.51	1.04	1.15	24.09	26.93	1.14	1.16	26.86	1.30	1.13
NM_001190458_DOCK8	0.00	0.00	0.17	0.00	0.00	0.00	0.06	0.00	0.07	0.00	0.08	0.00
NM_001185100_CD22	0.05	0.00	0.04	0.07	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.14
NM_001185082_FMR1	2.38	4.09	0.00	0.00	4.56	4.21	3.45	0.00	4.41	3.14	0.00	0.00
NM_001177693_RGNEF	0.03	0.03	0.05	0.07	0.04	0.09	0.17	0.19	0.00	0.00	0.10	0.17
NM_001174164_PRRT4	0.15	0.00	0.19	0.00	0.11	0.05	0.12	0.08	0.00	0.00	0.17	0.12
NM_001174092_TMEM185A	0.00	0.00	0.00	1.02	0.00	0.00	0.00	1.04	1.22	0.88	0.00	1.22
NM_001174085_POLL	0.00	0.00	0.00	0.91	0.00	0.00	0.00	2.14	0.00	0.00	0.00	1.28
NM_001174061_SMG7	3.01	1.90	0.00	0.00	6.62	6.44	6.54	0.00	5.34	0.00	0.00	0.00
NM_001173552_TMPRSS4	0.02	0.02	0.00	0.02	0.01	0.01	0.01	0.03	0.01	0.03	0.00	0.03
NM_001172684_CELF6	0.05	0.00	0.00	0.04	0.05	0.00	0.00	0.00	0.13	0.07	0.00	0.08
NM_001172671_ZNF430	1.07	0.00	0.00	0.00	1.35	0.00	0.00	0.00	2.60	0.00	1.25	0.00
NM_001172665_RAB40C	2.73	2.01	6.13	5.79	0.00	0.87	4.44	2.53	3.66	0.00	4.38	8.07
NM_001166660_NLGN3	0.00	0.00	0.37	0.16	0.00	0.00	0.40	0.36	0.00	0.19	0.87	0.00
NM_001166050_APBB2	0.00	0.00	1.08	2.36	2.36	0.00	0.00	5.07	2.15	0.00	1.38	5.10
NM_001165972_NRG3	0.16	0.00	0.32	0.00	0.00	0.00	0.60	0.00	0.00	0.00	0.36	0.00
NM_001164529_ZNF135	0.00	0.25	0.00	0.77	0.47	0.00	0.00	0.75	0.33	0.00	0.00	0.43
NM_001164465_1_GOLGA6L10	1.32	0.77	0.59	1.74	1.25	1.17	0.10	1.67	3.17	0.08	0.03	0.09
NM_001163692_LOC390595	0.08	0.14	0.31	0.24	0.00	0.00	0.28	0.09	0.00	0.00	0.20	0.42
NM_001163560_C16orf73	0.00	0.00	0.00	0.65	0.00	0.00	0.00	0.65	0.00	1.27	1.11	1.62
NM_001161625_NXNL2	0.53	0.24	0.10	0.00	0.70	0.69	0.15	0.48	0.80	0.70	0.19	0.46
NM_001161576_SAMD4A	0.00	0.31	0.23	0.75	0.00	0.44	0.00	1.60	0.00	0.00	0.82	1.68
NM_001161334_HIST2H2BF	0.05	0.18	0.82	0.00	0.08	0.00	0.15	0.00	0.11	0.15	0.21	0.00
NM_001160154_MGAT4A	0.11	0.00	0.00	0.10	0.17	0.00	0.00	0.30	0.24	0.21	0.00	0.32
NM_001160130_KCNQ5	0.17	0.06	0.20	0.19	0.05	0.08	0.13	0.15	0.08	0.13	0.28	0.32
NM_001159927_FBXW12	0.00	0.05	0.00	0.10	0.00	0.00	0.00	0.16	0.00	0.03	0.00	0.21
NM_001146075_RPAP3	0.00	1.66	1.84	2.26	0.00	0.00	1.44	1.81	0.00	1.69	2.39	2.26
NM_001146018_TJAP1	1.03	0.00	0.00	0.00	2.30	1.21	1.36	0.00	1.53	0.00	1.02	0.00
NM_001145966_MKI67	11.04	7.20	11.02	14.77	11.71	1.83	16.93	21.31	12.59	6.74	7.84	19.00
NM_001145453_GFRA1	0.00	0.00	0.00	0.14	0.32	0.00	0.00	0.40	0.00	0.00	0.00	0.26
NM_001145445_SFRS15	3.19	0.00	4.48	0.00	6.26	4.67	5.56	0.00	4.98	0.00	2.35	1.80
NM_001145275_ZFY	0.10	0.00	0.09	0.00	0.10	0.00	0.07	0.00	0.13	0.00	0.14	0.00
NM_001145257_IRAK4	0.00	0.57	0.60	0.00	0.00	0.00	0.42	0.00	0.58	0.22	0.63	0.00
NM_001145095_HHLA1	0.00	0.00	0.00	0.68	1.34	0.93	0.00	3.63	1.18	0.00	0.00	1.55
NM_001144942_RAB34	16.37	14.31	0.00	6.12	10.78	9.52	0.00	6.86	13.06	12.22	0.00	0.00
NM_001144887_CITED1	0.39	0.00	0.00	0.23	0.46	0.00	0.00	0.27	0.66	0.51	0.25	0.55
NM_001144876_DOK3	1.06	1.10	0.00	0.36	1.37	0.64	0.39	0.00	1.23	1.03	0.00	0.00
NM_001143758_LRRC27	0.00	0.00	0.00	0.27	0.18	0.00	0.00	0.21	0.00	0.00	0.00	0.71
NM_001142640_TNRC6C	1.27	0.00	4.37	1.37	2.32	0.99	2.60	2.97	1.40	2.16	3.79	3.12
NM_001142624_RAB34	0.00	0.00	14.13	8.50	0.00	0.00	11.44	0.00	0.00	0.00	10.65	8.45
NM_001142577_ZNF780A	0.00	0.00	1.08	0.00	0.00	0.00	0.65	0.00	0.00	0.00	0.65	0.00
NM_001142504_STARD8	0.78	1.68	1.91	1.87	0.91	0.48	1.43	1.03	1.54	1.11	2.10	2.49
NM_001142311_TMEM169	0.00	0.95	0.00	1.03	0.00	0.00	0.93	1.21	0.00	0.00	0.00	1.99
NM_001142292_LMAN2L	1.19	1.45	0.00	0.00	0.00	2.24	1.49	0.00	1.08	1.43	1.09	0.00
NM_001136218_TMEM51	0.91	1.73	0.00	2.13	0.00	1.36	0.00	2.18	0.00	1.74	0.00	1.76
NM_001135734_ZNF384	2.30	0.00	4.92	0.00	3.59	1.68	5.90	3.23	5.17	0.00	4.82	2.25
NM_001135058_COCH	2.19	1.53	3.38	1.70	2.74	2.27	4.95	1.08	3.95	1.94	2.21	0.00
NM_001134430_TOR2A	0.00	1.31	1.84	0.00	0.00	0.00	1.22	0.00	0.98	0.00	1.04	0.00
NM_001131028_ATG10	1.01	0.64	0.00	1.57	0.42	0.55	0.00	1.43	0.43	0.61	0.00	2.27
NM_001130915_MAMSTR	0.34	0.00	0.00	0.72	0.10	0.00	0.00	0.81	0.00	0.21	0.00	0.25
NM_001130678_EIF4E	4.06	2.45	2.85	6.77	2.71	0.00	2.04	3.27	6.72	5.05	14.47	15.55
NM_001126328_LNX1	0.00	0.00	0.74	0.00	0.00	1.19	1.25	0.62	0.22	0.80	0.95	0.84
NM_001126051_HDGF	21.35	20.75	0.00	0.00	23.38	11.45	20.51	0.00	17.21	0.00	0.00	0.00
NM_001123168_FAM72A	10.42	5.92	18.54	19.07	13.10	5.47	24.11	32.55	13.36	9.67	21.61	33.49
NM_001122835_TTC13	0.00	0.20	0.49	0.00	0.00	0.00	0.51	0.00	0.31	0.00	0.55	0.00
NM_001114974_SMTNL2	0.32	0.24	0.51	0.22	0.00	0.00	0.22	0.00	0.18	0.00	0.19	0.00
NM_001114139_EPB49	0.00	0.00	0.38	0.37	0.00	0.00	0.06	0.00	0.24	0.00	0.65	0.00
NM_001114120_DEPDC1	4.67	4.07	7.83	10.15	9.04	4.14	9.30	19.95	8.30	5.80	10.96	17.72
NM_001111047_CCNA1	0.64	0.00	0.00	0.09	0.14	0.00	0.00	0.00	0.29	0.00	0.25	0.00
NM_001111039_ZNF187	0.00	0.74	1.95	0.33	0.00	0.42	0.96	0.00	0.33	1.59	0.94	0.00
NM_001104548_LOC642587	0.32	0.54	0.60	0.82	0.36	0.00	0.66	1.45	0.37	0.00	0.98	1.29
NM_001103151_PNMA5	0.00	0.01	0.01	0.06	0.03	0.04	0.04	0.06	0.02	0.06	0.00	0.08
NM_001101677_SOHLH1	0.00	0.00	0.00	0.05	0.02	0.00	0.00	0.04	0.05	0.03	0.00	0.05
NM_001100910_FAM72B	6.32	4.05	9.59	9.88	7.01	3.32	13.66	15.90	8.54	5.28	10.80	17.25
NM_001100878_C8orf73	0.00	0.39	0.00	0.23	1.05	1.17	0.18	0.49	0.00	0.46	0.00	0.19
NM_001100118_XRCC3	4.26	5.10	0.00	3.60	3.05	4.50	0.00	2.26	4.26	5.19	4.00	0.00
NM_001099218_RAD51AP2	0.05	0.10	0.14	0.08	0.02	0.07	0.08	0.06	0.10	0.11	0.19	0.12
NM_001098823_TMEM91	0.00	0.45	0.00	0.00	0.00	1.39	0.00	0.00	0.00	0.68	0.00	0.00
NM_001098822_TMEM91	1.01	0.67	0.00	1.38	2.12	0.00	1.83	2.99	0.00	0.00	0.00	2.07
NM_001098540_HPSE	0.00	0.00	0.00	0.91	0.46	0.00	0.00	1.29	1.17	0.00	0.00	1.41
NM_001098537_PNPLA7	0.11	0.00	0.00	0.00	0.04	0.02	0.00	0.00	0.17	0.04	0.00	0.00
NM_001097600_TMEM22	0.53	0.00	0.59	0.87	0.96	0.70	1.16	2.27	1.02	0.37	1.97	1.70
NM_001083605_PTCH1	0.00	0.00	0.42	0.00	0.00	0.00	2.35	0.00	0.00	0.74	1.09	0.00
NM_001080485_ZNF275	4.59	4.59	2.10	3.98	4.50	3.62	0.00	1.43	4.02	3.48	0.00	0.00
NM_001080412_ZBTB38	0.40	1.12	0.00	0.00	0.71	1.45	0.00	0.00	0.00	1.52	0.00	0.00
NM_001080404_ZNF878	0.52	0.51	0.00	0.77	0.78	0.00	0.00	0.45	1.87	0.00	0.16	0.56
NM_001079804_GAA	0.61	0.00	2.93	2.30	3.37	0.00	3.43	4.59	1.82	0.00	4.53	5.91
NM_001079518_MED24	0.00	0.00	4.88	3.64	0.00	0.00	2.29	0.00	0.00	0.00	4.44	0.00
NM_001077351_RBM23	3.73	2.63	5.40	4.69	1.33	2.32	2.74	3.32	0.00	1.59	2.50	2.26
NM_001077241_SLC25A45	0.03	0.00	0.15	0.00	0.05	0.00	0.16	0.00	0.00	0.00	0.15	0.00
